ID,FULL_NAME,FIRST_DEPTH_NAME,SECOND_DEPTH_NAME,THIRD_DEPTH_NAME,FOURTH_DEPTH_NAME
1,서울특별시,서울특별시,"","",""
2,서울특별시 종로구,서울특별시,종로구,"",""
3,서울특별시 종로구 청운동,서울특별시,종로구,청운동,""
4,서울특별시 종로구 신교동,서울특별시,종로구,신교동,""
5,서울특별시 종로구 궁정동,서울특별시,종로구,궁정동,""
6,서울특별시 종로구 효자동,서울특별시,종로구,효자동,""
7,서울특별시 종로구 창성동,서울특별시,종로구,창성동,""
8,서울특별시 종로구 통의동,서울특별시,종로구,통의동,""
9,서울특별시 종로구 적선동,서울특별시,종로구,적선동,""
10,서울특별시 종로구 통인동,서울특별시,종로구,통인동,""
11,서울특별시 종로구 누상동,서울특별시,종로구,누상동,""
12,서울특별시 종로구 누하동,서울특별시,종로구,누하동,""
13,서울특별시 종로구 옥인동,서울특별시,종로구,옥인동,""
14,서울특별시 종로구 체부동,서울특별시,종로구,체부동,""
15,서울특별시 종로구 필운동,서울특별시,종로구,필운동,""
16,서울특별시 종로구 내자동,서울특별시,종로구,내자동,""
17,서울특별시 종로구 사직동,서울특별시,종로구,사직동,""
18,서울특별시 종로구 도렴동,서울특별시,종로구,도렴동,""
19,서울특별시 종로구 당주동,서울특별시,종로구,당주동,""
20,서울특별시 종로구 내수동,서울특별시,종로구,내수동,""
21,서울특별시 종로구 세종로,서울특별시,종로구,세종로,""
22,서울특별시 종로구 신문로1가,서울특별시,종로구,신문로1가,""
23,서울특별시 종로구 신문로2가,서울특별시,종로구,신문로2가,""
24,서울특별시 종로구 청진동,서울특별시,종로구,청진동,""
25,서울특별시 종로구 서린동,서울특별시,종로구,서린동,""
26,서울특별시 종로구 수송동,서울특별시,종로구,수송동,""
27,서울특별시 종로구 중학동,서울특별시,종로구,중학동,""
28,서울특별시 종로구 종로1가,서울특별시,종로구,종로1가,""
29,서울특별시 종로구 공평동,서울특별시,종로구,공평동,""
30,서울특별시 종로구 관훈동,서울특별시,종로구,관훈동,""
31,서울특별시 종로구 견지동,서울특별시,종로구,견지동,""
32,서울특별시 종로구 와룡동,서울특별시,종로구,와룡동,""
33,서울특별시 종로구 권농동,서울특별시,종로구,권농동,""
34,서울특별시 종로구 운니동,서울특별시,종로구,운니동,""
35,서울특별시 종로구 익선동,서울특별시,종로구,익선동,""
36,서울특별시 종로구 경운동,서울특별시,종로구,경운동,""
37,서울특별시 종로구 관철동,서울특별시,종로구,관철동,""
38,서울특별시 종로구 인사동,서울특별시,종로구,인사동,""
39,서울특별시 종로구 낙원동,서울특별시,종로구,낙원동,""
40,서울특별시 종로구 종로2가,서울특별시,종로구,종로2가,""
41,서울특별시 종로구 팔판동,서울특별시,종로구,팔판동,""
42,서울특별시 종로구 삼청동,서울특별시,종로구,삼청동,""
43,서울특별시 종로구 안국동,서울특별시,종로구,안국동,""
44,서울특별시 종로구 소격동,서울특별시,종로구,소격동,""
45,서울특별시 종로구 화동,서울특별시,종로구,화동,""
46,서울특별시 종로구 사간동,서울특별시,종로구,사간동,""
47,서울특별시 종로구 송현동,서울특별시,종로구,송현동,""
48,서울특별시 종로구 가회동,서울특별시,종로구,가회동,""
49,서울특별시 종로구 재동,서울특별시,종로구,재동,""
50,서울특별시 종로구 계동,서울특별시,종로구,계동,""
51,서울특별시 종로구 원서동,서울특별시,종로구,원서동,""
52,서울특별시 종로구 훈정동,서울특별시,종로구,훈정동,""
53,서울특별시 종로구 묘동,서울특별시,종로구,묘동,""
54,서울특별시 종로구 봉익동,서울특별시,종로구,봉익동,""
55,서울특별시 종로구 돈의동,서울특별시,종로구,돈의동,""
56,서울특별시 종로구 장사동,서울특별시,종로구,장사동,""
57,서울특별시 종로구 관수동,서울특별시,종로구,관수동,""
58,서울특별시 종로구 종로3가,서울특별시,종로구,종로3가,""
59,서울특별시 종로구 인의동,서울특별시,종로구,인의동,""
60,서울특별시 종로구 예지동,서울특별시,종로구,예지동,""
61,서울특별시 종로구 원남동,서울특별시,종로구,원남동,""
62,서울특별시 종로구 연지동,서울특별시,종로구,연지동,""
63,서울특별시 종로구 종로4가,서울특별시,종로구,종로4가,""
64,서울특별시 종로구 효제동,서울특별시,종로구,효제동,""
65,서울특별시 종로구 종로5가,서울특별시,종로구,종로5가,""
66,서울특별시 종로구 종로6가,서울특별시,종로구,종로6가,""
